UniProt ID;Gene;Protein name
Q8TE58;ADAMTS15;A disintegrin and metalloproteinase with thrombospondin motifs 15
P05231;IL6;Interleukin-6
P51692;STAT5B;Signal transducer and activator of transcription 5B
Q15427;SF3B4;Splicing factor 3B subunit 4
Q9UHD8;SEPTIN9;Septin-9
P00519;ABL1;Tyrosine-protein kinase ABL1
Q5VIR6;VPS53;Vacuolar protein sorting-associated protein 53 homolog
Q9BYE9;CDHR2;Cadherin-related family member 2
P61218;POLR2F;DNA-directed RNA polymerases I, II, and III subunit RPABC2
Q86WD7;SERPINA9;Serpin A9
Q9Y6A5;TACC3;Transforming acidic coiled-coil-containing protein 3
Q9NUY8;TBC1D23;TBC1 domain family member 23
O95831;AIFM1;Apoptosis-inducing factor 1, mitochondrial
P34949;MPI;Mannose-6-phosphate isomerase
Q6UXD5;SEZ6L2;Seizure 6-like protein 2
Q7L5N7;LPCAT2;Lysophosphatidylcholine acyltransferase 2
Q9UKR3;KLK13;Kallikrein-13
Q9GZY6;LAT2;Linker for activation of T-cells family member 2
Q07954;LRP1;Prolow-density lipoprotein receptor-related protein 1
Q9Y653;ADGRG1;Adhesion G-protein coupled receptor G1
P55273;CDKN2D;Cyclin-dependent kinase 4 inhibitor D
P05783;KRT18;Keratin, type I cytoskeletal 18
P10606;COX5B;Cytochrome c oxidase subunit 5B, mitochondrial
Q9UJ71;CD207;C-type lectin domain family 4 member K
O94760;DDAH1;N(G),N(G)-dimethylarginine dimethylaminohydrolase 1
P17948;FLT1;Vascular endothelial growth factor receptor 1
O75695;RP2;Protein XRP2
Q9Y662;HS3ST3B1;Heparan sulfate glucosamine 3-O-sulfotransferase 3B1
O00233;PSMD9;26S proteasome non-ATPase regulatory subunit 9
Q9H4A9;DPEP2;Dipeptidase 2
P05937;CALB1;Calbindin
P08473;MME;Neprilysin
P50583;NUDT2;Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]
Q9HAV7;GRPEL1;GrpE protein homolog 1, mitochondrial
O95498;VNN2;Pantetheine hydrolase VNN2
Q9BTE6;AARSD1;Alanyl-tRNA editing protein Aarsd1
O75054;IGSF3;Immunoglobulin superfamily member 3
Q9UK85;DKKL1;Dickkopf-like protein 1
O15357;INPPL1;Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2
P18627;LAG3;Lymphocyte activation gene 3 protein
P28907;CD38;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
Q8N129;CNPY4;Protein canopy homolog 4
Q49AH0;CDNF;Cerebral dopamine neurotrophic factor
P38936;CDKN1A;Cyclin-dependent kinase inhibitor 1
Q7Z5A7;TAFA5;Chemokine-like protein TAFA-5
Q11201;ST3GAL1;CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1
Q96RT1;ERBIN;Erbin
P37108;SRP14;Signal recognition particle 14 kDa protein
Q86SJ6;DSG4;Desmoglein-4
Q12846;STX4;Syntaxin-4
P29459_P29460;IL12A_IL12B;Interleukin-12
Q8IX05;CD302;CD302 antigen
Q9C0C4;SEMA4C;Semaphorin-4C
O00451;GFRA2;GDNF family receptor alpha-2
P15848;ARSB;Arylsulfatase B
O14828;SCAMP3;Secretory carrier-associated membrane protein 3
Q8N386;LRRC25;Leucine-rich repeat-containing protein 25
Q13561;DCTN2;Dynactin subunit 2
P55039;DRG2;Developmentally-regulated GTP-binding protein 2
Q9BSL1;UBAC1;Ubiquitin-associated domain-containing protein 1
Q14241;ELOA;Elongin-A
Q9BS26;ERP44;Endoplasmic reticulum resident protein 44
Q96I82;KAZALD1;Kazal-type serine protease inhibitor domain-containing protein 1
Q6UWW8;CES3;Carboxylesterase 3
Q9Y5K8;ATP6V1D;V-type proton ATPase subunit D
P29317;EPHA2;Ephrin type-A receptor 2
Q9BSG5;RTBDN;Retbindin
O43570;CA12;Carbonic anhydrase 12
P49441;INPP1;Inositol polyphosphate 1-phosphatase
P07949;RET;Proto-oncogene tyrosine-protein kinase receptor Ret
Q9Y570;PPME1;Protein phosphatase methylesterase 1
P07947;YES1;Tyrosine-protein kinase Yes
Q8N9I9;DTX3;Probable E3 ubiquitin-protein ligase DTX3
P07948;LYN;Tyrosine-protein kinase Lyn
O75144;ICOSLG;ICOS ligand
P23515;OMG;Oligodendrocyte-myelin glycoprotein
Q99717;SMAD5;Mothers against decapentaplegic homolog 5
P42658;DPP6;Dipeptidyl aminopeptidase-like protein 6
Q8NEZ2;VPS37A;Vacuolar protein sorting-associated protein 37A
O60825;PFKFB2;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2
P15514;AREG;Amphiregulin
O00592;PODXL;Podocalyxin
Q7Z5R6;APBB1IP;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
Q9NZT2;OGFR;Opioid growth factor receptor
Q13576;IQGAP2;Ras GTPase-activating-like protein IQGAP2
Q9UBM4;OPTC;Opticin
P25685;DNAJB1;DnaJ homolog subfamily B member 1
P98073;TMPRSS15;Enteropeptidase
P50120;RBP2;Retinol-binding protein 2
O00748;CES2;Cocaine esterase
O60763;USO1;General vesicular transport factor p115
O00622;CCN1;CCN family member 1
P82980;RBP5;Retinol-binding protein 5
Q86SJ2;AMIGO2;Amphoterin-induced protein 2
Q86SR1;GALNT10;Polypeptide N-acetylgalactosaminyltransferase 10
P58499;FAM3B;Protein FAM3B
O15263;DEFB4A, DEFB4B;Defensin beta 4A
P80511;S100A12;Protein S100-A12
Q8IXJ6;SIRT2;NAD-dependent protein deacetylase sirtuin-2
Q99795;GPA33;Cell surface A33 antigen
Q86SF2;GALNT7;N-acetylgalactosaminyltransferase 7
Q8WXI7;MUC16;Mucin-16
Q02742;GCNT1;Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase
Q13421;MSLN;Mesothelin
Q7Z5L0;VMO1;Vitelline membrane outer layer protein 1 homolog
Q99536;VAT1;Synaptic vesicle membrane protein VAT-1 homolog
P05187;ALPP;Alkaline phosphatase, placental type
Q16653;MOG;Myelin-oligodendrocyte glycoprotein
P08397;HMBS;Porphobilinogen deaminase
Q9NTU7;CBLN4;Cerebellin-4
Q9P1Z2;CALCOCO1;Calcium-binding and coiled-coil domain-containing protein 1
P01303;NPY;Pro-neuropeptide Y
Q14213_Q8NEV9;EBI3_IL27;Interleukin-27
Q9Y336;SIGLEC9;Sialic acid-binding Ig-like lectin 9
Q9Y5K2;KLK4;Kallikrein-4
P16870;CPE;Carboxypeptidase E
P26010;ITGB7;Integrin beta-7
O43699;SIGLEC6;Sialic acid-binding Ig-like lectin 6
Q9UJM8;HAO1;2-Hydroxyacid oxidase 1
Q15116;PDCD1;Programmed cell death protein 1
Q9H6S3;EPS8L2;Epidermal growth factor receptor kinase substrate 8-like protein 2
P47992;XCL1;Lymphotactin
Q14203;DCTN1;Dynactin subunit 1
P13521;SCG2;Secretogranin-2
Q9ULX7;CA14;Carbonic anhydrase 14
Q9NSA1;FGF21;Fibroblast growth factor 21
O43715;TRIAP1;TP53-regulated inhibitor of apoptosis 1
P30041;PRDX6;Peroxiredoxin-6
O60911;CTSV;Cathepsin L2
P47929;LGALS7, LGALS7B;Galectin-7
Q9P0G3;KLK14;Kallikrein-14
O14558;HSPB6;Heat shock protein beta-6
Q9H156;SLITRK2;SLIT and NTRK-like protein 2
Q9C005;DPY30;Protein dpy-30 homolog
Q9GZV9;FGF23;Fibroblast growth factor 23
O43827;ANGPTL7;Angiopoietin-related protein 7
P02760;AMBP;Protein AMBP
Q14790;CASP8;Caspase-8
Q9BXY4;RSPO3;R-spondin-3
P06756;ITGAV;Integrin alpha-V
Q16790;CA9;Carbonic anhydrase 9
Q496F6;CD300E;CMRF35-like molecule 2
Q9H6B4;CLMP;CXADR-like membrane protein
P20472;PVALB;Parvalbumin alpha
Q6PCB0;VWA1;von Willebrand factor A domain-containing protein 1
Q96D42;HAVCR1;Hepatitis A virus cellular receptor 1
Q10471;GALNT2;Polypeptide N-acetylgalactosaminyltransferase 2
Q9BZR6;RTN4R;Reticulon-4 receptor
Q96I15;SCLY;Selenocysteine lyase
Q02246;CNTN2;Contactin-2
Q9UBG3;CRNN;Cornulin
P98082;DAB2;Disabled homolog 2
Q96JA1;LRIG1;Leucine-rich repeats and immunoglobulin-like domains protein 1
P10145;CXCL8;Interleukin-8
P40121;CAPG;Macrophage-capping protein
Q9NPH0;ACP6;Lysophosphatidic acid phosphatase type 6
P09105;HBQ1;Hemoglobin subunit theta-1
P27695;APEX1;DNA repair nuclease/redox regulator APEX1
Q9H3G5;CPVL;Probable serine carboxypeptidase CPVL
Q96NA2;RILP;Rab-interacting lysosomal protein
P50579;METAP2;Methionine aminopeptidase 2
P35052;GPC1;Glypican-1
P39900;MMP12;Macrophage metalloelastase
P13726;F3;Tissue factor
O60243;HS6ST1;Heparan-sulfate 6-O-sulfotransferase 1
Q16595;FXN;Frataxin, mitochondrial
Q2VWP7;PRTG;Protogenin
O95388;CCN4;CCN family member 4
P05089;ARG1;Arginase-1
Q9NS68;TNFRSF19;Tumor necrosis factor receptor superfamily member 19
P09758;TACSTD2;Tumor-associated calcium signal transducer 2
P80303;NUCB2;Nucleobindin-2
P06127;CD5;T-cell surface glycoprotein CD5
Q6UWN8;SPINK6;Serine protease inhibitor Kazal-type 6
Q9HAV5;EDA2R;Tumor necrosis factor receptor superfamily member 27
P09960;LTA4H;Leukotriene A-4 hydrolase
Q00796;SORD;Sorbitol dehydrogenase
O00292;LEFTY2;Left-right determination factor 2
P51858;HDGF;Hepatoma-derived growth factor
P16562;CRISP2;Cysteine-rich secretory protein 2
P56159;GFRA1;GDNF family receptor alpha-1
P62166;NCS1;Neuronal calcium sensor 1
Q16775;HAGH;Hydroxyacylglutathione hydrolase, mitochondrial
P32926;DSG3;Desmoglein-3
Q9H4F8;SMOC1;SPARC-related modular calcium-binding protein 1
Q8WWY7;WFDC12;WAP four-disulfide core domain protein 12
O15123;ANGPT2;Angiopoietin-2
Q9Y5W5;WIF1;Wnt inhibitory factor 1
Q99075;HBEGF;Proheparin-binding EGF-like growth factor
P80075;CCL8;C-C motif chemokine 8
P35318;ADM;Pro-adrenomedullin
P35475;IDUA;Alpha-L-iduronidase
Q8TDQ1;CD300LF;CMRF35-like molecule 1
Q16543;CDC37;Hsp90 co-chaperone Cdc37
O43464;HTRA2;Serine protease HTRA2, mitochondrial
P20138;CD33;Myeloid cell surface antigen CD33
Q8NCC3;PLA2G15;Phospholipase A2 group XV
Q96PD2;DCBLD2;Discoidin, CUB and LCCL domain-containing protein 2
O14974;PPP1R12A;Protein phosphatase 1 regulatory subunit 12A
O00244;ATOX1;Copper transport protein ATOX1
Q5JTD0;TJAP1;Tight junction-associated protein 1
P21802;FGFR2;Fibroblast growth factor receptor 2
Q96SM3;CPXM1;Probable carboxypeptidase X1
Q7Z4W1;DCXR;L-xylulose reductase
P20851;C4BPB;C4b-binding protein beta chain
Q9NP84;TNFRSF12A;Tumor necrosis factor receptor superfamily member 12A
P29017;CD1C;T-cell surface glycoprotein CD1c
P32004;L1CAM;Neural cell adhesion molecule L1
P41439;FOLR3;Folate receptor gamma
P41271;NBL1;Neuroblastoma suppressor of tumorigenicity 1
Q9NZ53;PODXL2;Podocalyxin-like protein 2
Q9BYH1;SEZ6L;Seizure 6-like protein
P21741;MDK;Midkine
Q96NY8;NECTIN4;Nectin-4
P35916;FLT4;Vascular endothelial growth factor receptor 3
Q9H8J5;MANSC1;MANSC domain-containing protein 1
P37173;TGFBR2;TGF-beta receptor type-2
Q92832;NELL1;Protein kinase C-binding protein NELL1
Q96J42;TXNDC15;Thioredoxin domain-containing protein 15
Q02763;TEK;Angiopoietin-1 receptor
P35968;KDR;Vascular endothelial growth factor receptor 2
P21589;NT5E;5'-nucleotidase
P06870;KLK1;Kallikrein-1
Q9UBX1;CTSF;Cathepsin F
Q6FI81;CIAPIN1;Anamorsin
Q9UP79;ADAMTS8;A disintegrin and metalloproteinase with thrombospondin motifs 8
Q9HAT2;SIAE;Sialate O-acetylesterase
P78552;IL13RA1;Interleukin-13 receptor subunit alpha-1
Q14508;WFDC2;WAP four-disulfide core domain protein 2
O95721;SNAP29;Synaptosomal-associated protein 29
Q14512;FGFBP1;Fibroblast growth factor-binding protein 1
O43895;XPNPEP2;Xaa-Pro aminopeptidase 2
P07237;P4HB;Protein disulfide-isomerase
Q15303;ERBB4;Receptor tyrosine-protein kinase erbB-4
P09486;SPARC;SPARC
P48307;TFPI2;Tissue factor pathway inhibitor 2
Q9UJ68;MSRA;Mitochondrial peptide methionine sulfoxide reductase
P09958;FURIN;Furin
O75629;CREG1;Protein CREG1
P01298;PPY;Pancreatic polypeptide prohormone
O60259;KLK8;Kallikrein-8
Q9UBX7;KLK11;Kallikrein-11
P26447;S100A4;Protein S100-A4
P04626;ERBB2;Receptor tyrosine-protein kinase erbB-2
P12931;SRC;Proto-oncogene tyrosine-protein kinase Src
P18084;ITGB5;Integrin beta-5
O43240;KLK10;Kallikrein-10
P49767;VEGFC;Vascular endothelial growth factor C
O00548;DLL1;Delta-like protein 1
Q92876;KLK6;Kallikrein-6
P26842;CD27;CD27 antigen
P13688;CEACAM1;Carcinoembryonic antigen-related cell adhesion molecule 1
P15328;FOLR1;Folate receptor alpha
O95274;LYPD3;Ly6/PLAUR domain-containing protein 3
Q16674;MIA;Melanoma-derived growth regulatory protein
Q15797;SMAD1;Mothers against decapentaplegic homolog 1
P42331;ARHGAP25;Rho GTPase-activating protein 25
P43628;KIR2DL3;Killer cell immunoglobulin-like receptor 2DL3
Q8IWL2;SFTPA1;Pulmonary surfactant-associated protein A1
Q8NBZ7;UXS1;UDP-glucuronic acid decarboxylase 1
Q96EK5;KIFBP;KIF-binding protein
Q9BUE0;MED18;Mediator of RNA polymerase II transcription subunit 18
