UniProt ID;Gene;Protein name
O95727;CRTAM;Cytotoxic and regulatory T-cell molecule
P15509;CSF2RA;Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
P11464;PSG1;Pregnancy-specific beta-1-glycoprotein 1
Q8NBI3;DRAXIN;Draxin
O00559;EBAG9;Receptor-binding cancer antigen expressed on SiSo cells
Q96IU4;ABHD14B;Putative protein-lysine deacylase ABHD14B
Q8TCT1;PHOSPHO1;Phosphoethanolamine/phosphocholine phosphatase
P78560;CRADD;Death domain-containing protein CRADD
Q08629;SPOCK1;Testican-1
P09466;PAEP;Glycodelin
O00308;WWP2;NEDD4-like E3 ubiquitin-protein ligase WWP2
P07741;APRT;Adenine phosphoribosyltransferase
Q8IUN9;CLEC10A;C-type lectin domain family 10 member A
Q9HD42;CHMP1A;Charged multivesicular body protein 1a
Q02083;NAAA;N-acylethanolamine-hydrolyzing acid amidase
P50453;SERPINB9;Serpin B9
O60609;GFRA3;GDNF family receptor alpha-3
Q9UBT3;DKK4;Dickkopf-related protein 4
P52798;EFNA4;Ephrin-A4
Q2TAL6;VWC2;Brorin
Q13451;FKBP5;Peptidyl-prolyl cis-trans isomerase FKBP5
Q2MKA7;RSPO1;R-spondin-1
Q96NZ8;WFIKKN1;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1
Q9H5V8;CDCP1;CUB domain-containing protein 1
P38484;IFNGR2;Interferon gamma receptor 2
Q15814;TBCC;Tubulin-specific chaperone C
Q14108;SCARB2;Lysosome membrane protein 2
P78333;GPC5;Glypican-5
Q9Y6Y9;LY96;Lymphocyte antigen 96
O43155;FLRT2;Leucine-rich repeat transmembrane protein FLRT2
Q9H3S3;TMPRSS5;Transmembrane protease serine 5
Q53H47;SETMAR;Histone-lysine N-methyltransferase SETMAR
P16278;GLB1;Beta-galactosidase
P08134;RHOC;Rho-related GTP-binding protein RhoC
Q8NFP4;MDGA1;MAM domain-containing glycosylphosphatidylinositol anchor protein 1
P40222;TXLNA;Alpha-taxilin
O43557;TNFSF14;Tumor necrosis factor ligand superfamily member 14
P48740;MASP1;Mannan-binding lectin serine protease 1
O95630;STAMBP;STAM-binding protein
Q6XZF7;DNMBP;Dynamin-binding protein
Q92752;TNR;Tenascin-R
Q6P1N0;CC2D1A;Coiled-coil and C2 domain-containing protein 1A
Q8WV92;MITD1;MIT domain-containing protein 1
Q02790;FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4
P06748;NPM1;Nucleophosmin
Q06830;PRDX1;Peroxiredoxin-1
P22079;LPO;Lactoperoxidase
O95407;TNFRSF6B;Tumor necrosis factor receptor superfamily member 6B
Q6ISS4;LAIR2;Leukocyte-associated immunoglobulin-like receptor 2
Q9NZQ7;CD274;Programmed cell death 1 ligand 1
O00220;TNFRSF10A;Tumor necrosis factor receptor superfamily member 10A
Q92765;FRZB;Secreted frizzled-related protein 3
Q06323;PSME1;Proteasome activator complex subunit 1
Q6UX15;LAYN;Layilin
O76070;SNCG;Gamma-synuclein
O95817;BAG3;BAG family molecular chaperone regulator 3
O14618;CCS;Copper chaperone for superoxide dismutase
O60242;ADGRB3;Adhesion G protein-coupled receptor B3
P50135;HNMT;Histamine N-methyltransferase
P78423;CX3CL1;Fractalkine
Q8WWN9;IPCEF1;Interactor protein for cytohesin exchange factors 1
P02771;AFP;Alpha-fetoprotein
O15232;MATN3;Matrilin-3
Q9NPH6;OBP2B;Odorant-binding protein 2b
O14763;TNFRSF10B;Tumor necrosis factor receptor superfamily member 10B
O15197;EPHB6;Ephrin type-B receptor 6
P01258;CALCA;Calcitonin
Q8N474;SFRP1;Secreted frizzled-related protein 1
Q07011;TNFRSF9;Tumor necrosis factor receptor superfamily member 9
Q9H477;RBKS;Ribokinase
P56279;TCL1A;T-cell leukemia/lymphoma protein 1A
P08962;CD63;CD63 antigen
Q9UL46;PSME2;Proteasome activator complex subunit 2
P07306;ASGR1;Asialoglycoprotein receptor 1
Q9BYC5;FUT8;Alpha-(1,6)-fucosyltransferase
Q99426;TBCB;Tubulin-folding cofactor B
P12644;BMP4;Bone morphogenetic protein 4
P28325;CST5;Cystatin-D
Q9NR71;ASAH2;Neutral ceramidase
P10145;CXCL8;Interleukin-8
Q96GW7;BCAN;Brevican core protein
P37023;ACVRL1;Serine/threonine-protein kinase receptor R3
P23588;EIF4B;Eukaryotic translation initiation factor 4B
Q9P0K1;ADAM22;Disintegrin and metalloproteinase domain-containing protein 22
O15496;PLA2G10;Group 10 secretory phospholipase A2
Q9BS40;LXN;Latexin
P13500;CCL2;C-C motif chemokine 2
P55291;CDH15;Cadherin-15
O94779;CNTN5;Contactin-5
Q9HCK4;ROBO2;Roundabout homolog 2
P22223;CDH3;Cadherin-3
Q08345;DDR1;Epithelial discoidin domain-containing receptor 1
Q08708;CD300C;CMRF35-like molecule 6
P15151;PVR;Poliovirus receptor
Q8NBS9;TXNDC5;Thioredoxin domain-containing protein 5
P21217_Q11128;FUT3_FUT5;3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5
P52823;STC1;Stanniocalcin-1
Q9H446;RWDD1;RWD domain-containing protein 1
Q9NP79;VTA1;Vacuolar protein sorting-associated protein VTA1 homolog
P15311;EZR;Ezrin
P01732;CD8A;T-cell surface glycoprotein CD8 alpha chain
P22894;MMP8;Neutrophil collagenase
Q92854;SEMA4D;Semaphorin-4D
O14737;PDCD5;Programmed cell death protein 5
Q9UNZ2;NSFL1C;NSFL1 cofactor p47
P35237;SERPINB6;Serpin B6
O43927;CXCL13;C-X-C motif chemokine 13
P28906;CD34;Hematopoietic progenitor cell antigen CD34
P13611;VCAN;Versican core protein
Q96CD2;PPCDC;Phosphopantothenoylcysteine decarboxylase
P17405;SMPD1;Sphingomyelin phosphodiesterase
Q10589;BST2;Bone marrow stromal antigen 2
Q99731;CCL19;C-C motif chemokine 19
P50225;SULT1A1;Sulfotransferase 1A1
Q8NBJ7;SUMF2;Inactive C-alpha-formylglycine-generating enzyme 2
P01236;PRL;Prolactin
Q14739;LBR;Delta(14)-sterol reductase LBR
P13473;LAMP2;Lysosome-associated membrane glycoprotein 2
P12429;ANXA3;Annexin A3
P06733;ENO1;Alpha-enolase
P05060;CHGB;Secretogranin-1
P78325;ADAM8;Disintegrin and metalloproteinase domain-containing protein 8
P04233;CD74;HLA class II histocompatibility antigen gamma chain
O00214;LGALS8;Galectin-8
O14625;CXCL11;C-X-C motif chemokine 11
Q6P4E1;GOLM2;Protein GOLM2
Q6NW40;RGMB;Repulsive guidance molecule B
P09104;ENO2;Gamma-enolase
P01178;OXT;Oxytocin-neurophysin 1
Q96GP6;SCARF2;Scavenger receptor class F member 2
P28908;TNFRSF8;Tumor necrosis factor receptor superfamily member 8
P04216;THY1;Thy-1 membrane glycoprotein
Q10588;BST1;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
O75509;TNFRSF21;Tumor necrosis factor receptor superfamily member 21
Q9BRF8;CPPED1;Serine/threonine-protein phosphatase CPPED1
P14384;CPM;Carboxypeptidase M
O14594;NCAN;Neurocan core protein
P25774;CTSS;Cathepsin S
Q16288;NTRK3;NT-3 growth factor receptor
Q6ZMJ2;SCARA5;Scavenger receptor class A member 5
P30533;LRPAP1;Alpha-2-macroglobulin receptor-associated protein
P48052;CPA2;Carboxypeptidase A2
Q9P126;CLEC1B;C-type lectin domain family 1 member B
P14207;FOLR2;Folate receptor beta
P21757;MSR1;Macrophage scavenger receptor types I and II
P57087;JAM2;Junctional adhesion molecule B
Q96B86;RGMA;Repulsive guidance molecule A
O94907;DKK1;Dickkopf-related protein 1
Q9UBW5;BIN2;Bridging integrator 2
O76076;CCN5;CCN family member 5
P05067;APP;Amyloid-beta precursor protein
P11215;ITGAM;Integrin alpha-M
P02749;APOH;Beta-2-glycoprotein 1
P14174;MIF;Macrophage migration inhibitory factor
Q15818;NPTX1;Neuronal pentraxin-1
P19440;GGT1;Glutathione hydrolase 1 proenzyme
P50895;BCAM;Basal cell adhesion molecule
P31948;STIP1;Stress-induced-phosphoprotein 1
Q9NZD4;AHSP;Alpha-hemoglobin-stabilizing protein
Q02487;DSC2;Desmocollin-2
Q04900;CD164;Sialomucin core protein 24
O60462;NRP2;Neuropilin-2
O15389;SIGLEC5;Sialic acid-binding Ig-like lectin 5
P08254;MMP3;Stromelysin-1
Q14112;NID2;Nidogen-2
P12081;HARS1;Histidine--tRNA ligase, cytoplasmic
P30086;PEBP1;Phosphatidylethanolamine-binding protein 1
P30740;SERPINB1;Leukocyte elastase inhibitor
Q96F46;IL17RA;Interleukin-17 receptor A
Q86T13;CLEC14A;C-type lectin domain family 14 member A
Q9HCN6;GP6;Platelet glycoprotein VI
Q9P232;CNTN3;Contactin-3
P55103;INHBC;Inhibin beta C chain
Q96FE7;PIK3IP1;Phosphoinositide-3-kinase-interacting protein 1
O15394;NCAM2;Neural cell adhesion molecule 2
P23280;CA6;Carbonic anhydrase 6
P00995;SPINK1;Serine protease inhibitor Kazal-type 1
Q9UGT4;SUSD2;Sushi domain-containing protein 2
Q14696;MESD;LRP chaperone MESD
P05164;MPO;Myeloperoxidase
Q02747;GUCA2A;Guanylin
P01833;PIGR;Polymeric immunoglobulin receptor
P14780;MMP9;Matrix metalloproteinase-9
P35442;THBS2;Thrombospondin-2
Q13093;PLA2G7;Platelet-activating factor acetylhydrolase
Q15155;NOMO1;BOS complex subunit NOMO1
P22105;TNXB;Tenascin-X
Q6YHK3;CD109;CD109 antigen
O43278;SPINT1;Kunitz-type protease inhibitor 1
P14209;CD99;CD99 antigen
Q96RD9;FCRL5;Fc receptor-like protein 5
Q9Y240;CLEC11A;C-type lectin domain family 11 member A
Q14126;DSG2;Desmoglein-2
P04179;SOD2;Superoxide dismutase [Mn], mitochondrial
Q9UKK9;NUDT5;ADP-sugar pyrophosphatase
P14778;IL1R1;Interleukin-1 receptor type 1
Q8IWV2;CNTN4;Contactin-4
P63313;TMSB10;Thymosin beta-10
Q8N6Q3;CD177;CD177 antigen
Q5T2D2;TREML2;Trem-like transcript 2 protein
Q99972;MYOC;Myocilin
Q8TCZ2;CD99L2;CD99 antigen-like protein 2
P20774;OGN;Mimecan
P00749;PLAU;Urokinase-type plasminogen activator
P20827;EFNA1;Ephrin-A1
Q9NPH3;IL1RAP;Interleukin-1 receptor accessory protein
O43505;B4GAT1;Beta-1,4-glucuronyltransferase 1
P00352;ALDH1A1;Aldehyde dehydrogenase 1A1
Q9UKJ1;PILRA;Paired immunoglobulin-like type 2 receptor alpha
Q6UXG3;CD300LG;CMRF35-like molecule 9
P16284;PECAM1;Platelet endothelial cell adhesion molecule
P22749;GNLY;Granulysin
P06734;FCER2;Low affinity immunoglobulin epsilon Fc receptor
Q08431;MFGE8;Lactadherin
Q16881;TXNRD1;Thioredoxin reductase 1, cytoplasmic
P16871;IL7R;Interleukin-7 receptor subunit alpha
Q8TDQ0;HAVCR2;Hepatitis A virus cellular receptor 2
P08648;ITGA5;Integrin alpha-5
O15117;FYB1;FYN-binding protein 1
P30043;BLVRB;Flavin reductase (NADPH)
Q969Z4;RELT;Tumor necrosis factor receptor superfamily member 19L
P07108;DBI;Acyl-CoA-binding protein
Q9Y279;VSIG4;V-set and immunoglobulin domain-containing protein 4
P20333;TNFRSF1B;Tumor necrosis factor receptor superfamily member 1B
P11717;IGF2R;Cation-independent mannose-6-phosphate receptor
Q99727;TIMP4;Metalloproteinase inhibitor 4
Q9NQ38;SPINK5;Serine protease inhibitor Kazal-type 5
P00918;CA2;Carbonic anhydrase 2
P17538;CTRB1;Chymotrypsinogen B
Q9Y624;F11R;Junctional adhesion molecule A
Q8N149;LILRA2;Leukocyte immunoglobulin-like receptor subfamily A member 2
Q6UXH9;PAMR1;Inactive serine protease PAMR1
P04155;TFF1;Trefoil factor 1
P19438;TNFRSF1A;Tumor necrosis factor receptor superfamily member 1A
P04118;CLPS;Colipase
O76061;STC2;Stanniocalcin-2
P22692;IGFBP4;Insulin-like growth factor-binding protein 4
P28799;GRN;Progranulin
Q99497;PARK7;Parkinson disease protein 7
Q01469;FABP5;Fatty acid-binding protein 5
O94985;CLSTN1;Calsyntenin-1
P01138;NGF;Beta-nerve growth factor
P01215;CGA;Glycoprotein hormones alpha chain
P15289;ARSA;Arylsulfatase A
Q96JP9;CDHR1;Cadherin-related family member 1
Q9BZM5;ULBP2;UL16-binding protein 2
